Category,Physics,Chemistry,Math,Qualified_For_Advanced
ST,46,50,19,1
General,37,10,17,0
General,38,47,52,1
EWS,58,61,53,1
OBC,38,15,22,0
SC,64,37,19,1
General,31,17,45,0
General,32,34,51,1
OBC,18,55,26,1
EWS,40,9,0,0
General,35,47,13,0
General,38,15,15,0
General,24,52,10,0
OBC,54,52,44,1
OBC,54,31,9,1
General,40,28,31,0
OBC,18,41,37,1
SC,33,72,50,1
ST,55,62,12,1
OBC,74,19,43,1
General,15,47,26,0
General,41,47,28,1
OBC,17,83,69,1
ST,25,62,59,1
ST,40,66,19,1
ST,17,55,38,1
General,25,68,16,1
SC,48,37,44,1
OBC,-10,67,36,1
General,33,54,12,0
SC,51,71,21,1
General,43,65,27,1
General,9,0,39,0
OBC,36,22,22,0
OBC,43,31,1,0
EWS,24,7,-10,0
OBC,43,7,15,0
General,32,57,33,1
General,20,83,17,1
OBC,49,25,83,1
General,23,-4,40,0
OBC,45,10,15,0
OBC,65,56,16,1
OBC,39,33,23,1
General,38,32,4,0
General,34,38,53,1
OBC,62,38,4,1
OBC,0,35,9,0
General,57,58,32,1
General,6,69,48,1
SC,32,28,8,1
OBC,35,11,21,0
SC,39,35,69,1
General,11,81,3,0
OBC,27,44,51,1
General,16,16,3,0
SC,53,-2,57,1
General,33,66,51,1
EWS,22,45,17,0
OBC,21,33,2,0
General,70,78,41,1
ST,26,23,45,1
SC,36,28,29,1
OBC,57,23,25,1
General,26,8,58,0
EWS,48,2,19,0
General,18,77,38,1
OBC,29,4,30,0
General,43,19,28,0
EWS,42,55,37,1
OBC,10,36,38,0
OBC,58,56,52,1
General,-10,38,39,0
OBC,11,38,2,0
General,52,46,-8,0
General,59,38,-1,0
General,36,69,38,1
OBC,32,77,37,1
General,55,38,17,1
EWS,23,34,25,0
SC,23,45,30,1
General,52,27,39,1
General,41,5,25,0
General,43,50,11,0
EWS,2,39,33,0
OBC,19,32,-10,0
OBC,30,29,34,1
General,19,57,36,1
General,40,22,49,1
OBC,63,69,4,1
OBC,17,44,41,1
General,27,64,12,0
General,26,46,14,0
General,10,84,39,1
SC,21,63,46,1
General,4,14,77,0
OBC,31,35,20,0
OBC,85,89,18,1
SC,55,44,54,1
General,76,41,0,1
SC,-4,72,-10,0
SC,71,12,13,1
OBC,6,40,43,0
OBC,29,33,19,0
ST,47,10,19,1
EWS,43,29,43,1
General,61,44,39,1
OBC,37,66,7,1
OBC,8,-5,22,0
OBC,5,100,18,1
OBC,32,-1,5,0
OBC,57,18,31,1
General,23,53,40,1
ST,76,82,10,1
ST,60,61,26,1
SC,44,17,38,1
OBC,19,22,13,0
ST,55,58,24,1
EWS,41,31,37,1
General,64,26,3,0
General,37,-10,-9,0
General,44,64,35,1
OBC,58,25,13,1
General,33,81,-10,0
General,42,21,0,0
EWS,45,18,37,1
General,47,58,36,1
OBC,25,58,15,1
SC,8,2,24,0
EWS,26,52,17,1
SC,35,38,-5,1
SC,50,29,33,1
General,31,64,32,1
General,39,39,15,0
EWS,23,33,15,0
General,35,49,-1,0
ST,33,46,16,1
OBC,4,9,70,0
OBC,62,44,55,1
General,21,28,46,0
General,7,20,43,0
SC,25,12,38,1
OBC,23,33,20,0
OBC,36,67,24,1
General,46,37,14,0
OBC,31,13,26,0
General,21,31,35,0
OBC,12,45,15,0
General,32,-10,28,0
General,42,40,38,1
SC,46,33,49,1
EWS,36,83,-7,1
General,44,43,33,1
EWS,38,60,34,1
EWS,22,17,15,0
General,31,100,53,1
OBC,70,44,27,1
SC,48,5,5,0
OBC,27,63,21,1
OBC,41,22,34,1
OBC,73,83,20,1
General,48,30,55,1
ST,45,78,65,1
General,11,68,43,1
General,18,76,31,1
General,24,40,28,0
General,-6,26,44,0
SC,34,28,56,1
EWS,29,38,18,0
General,42,54,4,0
General,15,66,43,1
OBC,33,37,20,1
SC,35,44,43,1
OBC,50,50,72,1
OBC,37,30,42,1
SC,32,61,47,1
ST,49,28,33,1
OBC,10,51,20,0
ST,82,50,42,1
General,79,59,30,1
OBC,16,42,63,1
General,34,27,65,1
EWS,46,29,45,1
General,8,54,17,0
OBC,19,51,13,0
General,17,59,39,1
General,21,28,42,0
General,11,57,37,1
OBC,13,43,18,0
General,39,67,25,1
ST,36,25,19,1
OBC,22,33,-7,0
OBC,4,29,62,1
General,55,48,33,1
General,29,47,16,0
SC,61,67,16,1
SC,35,21,6,1
OBC,33,44,45,1
General,31,57,37,1
General,27,61,30,1
OBC,14,34,22,0
General,61,63,38,1
General,47,57,36,1
ST,17,31,73,1
OBC,34,48,25,1
SC,47,34,47,1
General,30,20,7,0
OBC,45,17,-1,0
OBC,33,65,55,1
General,12,36,16,0
General,46,43,10,0
OBC,18,68,7,1
General,-10,69,33,0
General,39,50,36,1
OBC,41,12,28,0
General,43,36,28,1
General,56,-10,10,0
OBC,3,41,20,0
OBC,-8,13,39,0
OBC,32,83,48,1
EWS,16,36,13,0
EWS,23,29,39,1
General,16,30,24,0
OBC,43,86,13,1
General,29,50,14,0
ST,43,39,3,1
SC,69,13,9,1
General,20,-4,44,0
General,17,20,17,0
EWS,32,51,23,1
SC,61,36,36,1
SC,22,38,37,1
OBC,11,30,22,0
ST,69,41,2,1
General,55,13,32,0
SC,36,41,26,1
SC,25,56,31,1
General,33,62,55,1
General,-10,40,38,0
OBC,11,36,47,1
General,50,48,20,1
OBC,42,57,19,1
OBC,29,66,40,1
SC,17,79,13,1
OBC,47,34,24,1
OBC,34,23,45,1
OBC,14,14,43,0
General,26,22,62,1
OBC,65,36,24,1
OBC,13,52,50,1
OBC,33,40,30,1
OBC,22,52,40,1
SC,27,78,19,1
ST,43,88,45,1
General,25,48,25,0
General,24,4,45,0
OBC,-2,53,32,0
OBC,58,30,27,1
General,37,72,32,1
General,41,80,18,1
OBC,43,63,9,1
General,49,38,52,1
SC,-3,82,48,1
OBC,25,14,37,0
OBC,52,70,29,1
EWS,17,91,60,1
OBC,33,22,34,0
OBC,34,7,51,1
General,23,48,12,0
OBC,33,45,6,0
OBC,5,54,19,0
General,23,31,11,0
General,43,-10,42,0
General,38,46,35,1
OBC,38,31,43,1
General,37,1,34,0
General,44,23,40,1
General,9,42,59,1
SC,50,41,17,1
General,4,47,46,0
OBC,57,46,17,1
General,24,45,34,0
General,36,40,-10,0
General,24,73,32,1
SC,35,77,12,1
General,33,66,21,1
General,68,19,25,1
EWS,79,97,29,1
General,51,35,29,1
General,46,56,26,1
EWS,34,47,44,1
General,38,53,59,1
OBC,49,26,23,1
General,45,29,50,1
OBC,57,7,32,1
General,6,42,61,1
OBC,21,80,72,1
OBC,39,62,15,1
General,21,17,24,0
SC,56,24,21,1
General,28,-5,1,0
General,40,56,53,1
General,53,63,-3,1
OBC,49,55,39,1
OBC,23,7,12,0
General,14,81,60,1
ST,35,69,4,1
OBC,51,61,47,1
General,43,46,33,1
General,13,37,46,0
EWS,31,23,36,1
General,18,18,22,0
SC,49,45,16,1
General,86,41,25,1
SC,43,26,22,1
General,75,51,57,1
General,66,35,34,1
ST,25,42,13,1
OBC,41,25,50,1
General,40,26,22,0
EWS,20,48,28,1
OBC,16,39,49,1
OBC,35,46,21,1
SC,24,21,48,1
General,12,35,34,0
General,19,60,54,1
General,47,8,25,0
OBC,40,-10,22,0
General,41,32,59,1
EWS,34,53,33,1
General,44,42,52,1
EWS,43,43,22,1
OBC,61,17,12,1
General,44,60,35,1
ST,43,39,-10,1
OBC,60,57,19,1
General,32,31,18,0
General,67,73,-9,1
OBC,31,61,-4,0
General,42,14,16,0
General,17,41,31,0
EWS,44,67,31,1
General,86,13,8,1
ST,28,-7,19,0
OBC,56,43,29,1
OBC,21,3,34,0
General,26,60,33,1
OBC,20,27,15,0
EWS,79,27,3,1
General,42,46,43,1
OBC,40,60,39,1
General,33,33,41,1
General,48,9,-4,0
OBC,22,42,17,0
OBC,41,4,8,0
General,36,19,22,0
OBC,17,37,33,0
General,64,42,5,1
OBC,54,56,54,1
EWS,19,10,30,0
ST,26,30,16,1
General,26,16,41,0
OBC,6,41,17,0
General,38,-10,16,0
SC,18,27,22,1
EWS,30,51,0,0
General,-10,27,35,0
General,26,6,48,0
General,37,24,41,0
SC,14,15,-4,0
OBC,56,34,12,1
OBC,46,60,38,1
OBC,16,34,40,1
OBC,32,35,25,1
General,21,52,17,0
ST,41,52,51,1
General,21,53,53,1
OBC,18,47,69,1
General,48,20,38,1
OBC,54,54,61,1
General,29,10,65,0
OBC,15,43,19,0
OBC,53,49,30,1
OBC,46,68,9,1
OBC,51,59,50,1
SC,54,49,18,1
General,45,68,37,1
OBC,16,69,70,1
General,7,26,10,0
General,36,10,48,0
OBC,12,78,28,1
General,30,51,39,1
SC,40,39,27,1
OBC,16,55,36,1
General,84,3,39,1
OBC,32,54,31,1
ST,28,44,-5,1
OBC,71,86,59,1
OBC,12,26,61,1
OBC,31,33,41,1
OBC,36,25,-1,0
OBC,27,17,32,0
OBC,24,41,44,1
EWS,15,65,-3,0
General,22,56,8,0
EWS,41,53,28,1
OBC,1,35,14,0
SC,30,76,11,1
OBC,95,82,5,1
OBC,29,34,31,1
General,21,46,57,1
OBC,46,50,22,1
OBC,47,40,13,1
OBC,42,70,48,1
OBC,-10,-9,30,0
General,22,23,27,0
General,-10,17,23,0
OBC,34,22,15,0
OBC,29,49,27,1
OBC,62,53,32,1
General,9,7,50,0
SC,29,48,2,1
OBC,14,53,7,0
ST,11,52,35,1
SC,45,23,-10,0
OBC,46,38,42,1
OBC,52,31,29,1
ST,44,66,-1,1
OBC,7,11,6,0
OBC,3,65,30,1
General,7,22,44,0
OBC,80,39,42,1
OBC,22,12,43,0
General,50,29,51,1
General,27,43,68,1
OBC,5,19,27,0
OBC,19,42,-7,0
OBC,3,79,72,1
SC,27,14,25,1
SC,49,41,31,1
OBC,41,79,23,1
General,76,50,60,1
General,15,75,13,0
SC,52,68,39,1
EWS,35,15,31,0
OBC,39,4,14,0
SC,8,-3,23,0
OBC,0,37,46,0
General,31,50,50,1
EWS,32,46,40,1
General,18,55,60,1
OBC,9,19,18,0
OBC,59,37,23,1
OBC,25,33,51,1
General,37,24,56,1
SC,47,-1,17,1
OBC,68,20,13,1
OBC,46,55,2,1
General,24,57,14,0
EWS,23,73,60,1
General,35,11,42,0
OBC,60,2,39,1
General,-2,20,20,0
General,17,39,32,0
General,32,59,16,1
OBC,61,72,45,1
OBC,18,48,37,1
General,38,58,19,1
General,7,42,17,0
General,49,30,43,1
General,21,-4,22,0
ST,21,27,17,1
OBC,14,42,21,0
ST,39,24,28,1
OBC,31,18,28,0
SC,12,-10,58,1
ST,17,100,44,1
OBC,2,39,83,1
General,39,42,49,1
General,21,16,39,0
OBC,35,9,59,1
SC,34,48,8,1
OBC,43,42,30,1
ST,63,35,25,1
OBC,-1,19,20,0
OBC,20,66,46,1
General,34,32,68,1
OBC,28,12,21,0
OBC,53,72,30,1
SC,47,54,33,1
OBC,2,16,9,0
General,38,69,35,1
General,30,37,12,0
EWS,27,40,31,1
General,34,62,31,1
OBC,44,14,36,1
OBC,57,53,46,1
SC,65,7,28,1
SC,-10,30,11,0
General,38,59,29,1
General,39,48,2,0
OBC,26,53,45,1
OBC,7,27,22,0
General,24,11,24,0
ST,-2,35,16,1
General,25,22,12,0
EWS,24,42,41,1
General,41,-1,-1,0
EWS,53,8,47,1
General,28,26,15,0
OBC,45,56,51,1
General,24,27,19,0
ST,-10,64,24,1
ST,51,56,38,1
OBC,-10,49,18,0
EWS,32,62,33,1
SC,41,64,12,1
OBC,7,56,33,1
General,9,68,40,1
SC,58,15,10,1
OBC,32,51,1,0
OBC,52,46,11,1
OBC,36,42,32,1
EWS,45,77,15,1
General,3,42,38,0
OBC,5,24,62,1
SC,19,21,-10,0
General,15,98,20,1
EWS,49,32,24,1
General,44,27,19,0
General,47,73,27,1
General,35,71,32,1
General,38,58,-10,0
OBC,59,55,25,1
OBC,31,25,24,0
EWS,0,7,17,0
OBC,15,48,18,0
General,18,13,25,0
General,28,47,47,1
SC,12,52,32,1
ST,41,46,16,1
EWS,25,78,24,1
OBC,41,63,38,1
General,18,13,49,0
General,47,74,0,1
OBC,45,61,35,1
OBC,57,10,64,1
EWS,51,41,40,1
OBC,10,39,-3,0
General,31,50,24,1
OBC,51,31,51,1
General,50,25,42,1
General,53,33,37,1
OBC,14,31,16,0
OBC,41,60,25,1
SC,9,33,7,0
General,9,4,23,0
OBC,20,52,34,1
OBC,48,46,26,1
OBC,44,54,51,1
General,52,-2,33,0
General,11,56,18,0
OBC,52,-4,48,1
General,30,42,29,0
ST,34,52,17,1
General,37,47,20,0
General,3,51,37,0
OBC,35,64,42,1
OBC,52,55,28,1
SC,56,28,36,1
General,37,42,9,0
SC,37,33,30,1
OBC,46,38,69,1
SC,47,64,22,1
SC,44,32,9,1
OBC,49,72,23,1
General,29,-10,18,0
General,89,48,31,1
General,24,23,17,0
General,27,22,29,0
EWS,41,31,-1,0
EWS,49,63,17,1
OBC,38,32,43,1
SC,8,73,28,1
OBC,46,44,2,1
General,48,68,42,1
EWS,25,4,14,0
General,28,62,36,1
SC,42,12,56,1
OBC,18,3,45,0
SC,36,1,21,0
SC,7,83,47,1
OBC,28,12,30,0
General,13,77,38,1
OBC,63,31,34,1
General,52,55,26,1
OBC,39,11,28,0
General,78,33,19,1
OBC,19,44,26,0
EWS,48,45,29,1
General,85,30,17,1
General,53,32,17,0
General,52,64,23,1
OBC,-7,39,15,0
EWS,13,28,20,0
OBC,42,75,26,1
General,82,-10,30,0
SC,69,43,16,1
SC,45,71,25,1
General,45,47,27,1
General,40,22,33,0
SC,35,27,15,1
OBC,0,14,-10,0
General,39,6,49,0
General,30,73,20,1
OBC,30,58,41,1
General,32,63,16,1
SC,37,11,47,1
EWS,30,49,70,1
SC,37,8,36,1
EWS,15,19,25,0
OBC,-9,34,13,0
OBC,10,43,12,0
OBC,24,18,26,0
OBC,45,78,45,1
General,-10,14,9,0
General,39,35,50,1
General,19,89,-9,0
OBC,62,40,8,1
OBC,41,63,37,1
OBC,44,1,6,0
ST,52,51,22,1
General,43,44,52,1
SC,80,100,35,1
General,69,39,34,1
General,5,54,16,0
General,37,5,34,0
OBC,26,11,13,0
OBC,50,62,53,1
OBC,13,33,59,1
OBC,41,2,6,0
EWS,58,48,9,1
EWS,24,39,10,0
OBC,50,32,37,1
EWS,33,2,29,0
OBC,40,38,34,1
General,47,23,43,1
General,50,66,33,1
OBC,0,32,27,0
SC,43,21,46,1
General,43,75,43,1
ST,41,41,27,1
EWS,31,49,11,1
General,-8,57,18,0
OBC,39,50,-2,0
OBC,28,60,19,1
OBC,68,23,21,1
OBC,51,52,32,1
SC,79,14,22,1
OBC,30,30,40,1
OBC,60,62,37,1
OBC,11,29,13,0
OBC,32,30,27,0
OBC,39,88,44,1
EWS,27,16,30,0
SC,18,55,62,1
OBC,37,35,34,1
General,18,34,27,0
General,16,64,18,0
OBC,49,14,22,0
OBC,15,24,19,0
General,60,43,11,1
General,21,42,47,1
OBC,32,51,42,1
OBC,47,51,-1,1
OBC,52,42,87,1
General,19,60,46,1
General,78,35,9,1
General,28,25,69,1
OBC,38,68,5,1
EWS,22,43,0,0
OBC,13,64,41,1
OBC,48,25,62,1
General,19,17,38,0
SC,50,36,55,1
General,28,10,36,0
General,23,30,50,0
ST,59,39,13,1
General,24,35,28,0
OBC,28,20,38,0
SC,23,-10,16,0
OBC,27,21,39,0
General,14,45,46,1
OBC,16,59,23,1
SC,61,31,49,1
OBC,51,28,7,0
General,34,23,25,0
EWS,72,46,31,1
EWS,63,24,14,1
OBC,31,48,57,1
OBC,16,20,2,0
OBC,2,51,53,1
General,48,51,17,1
General,43,75,21,1
EWS,29,52,29,1
General,57,54,42,1
OBC,55,47,31,1
SC,47,33,51,1
ST,44,45,43,1
EWS,34,37,25,1
ST,0,65,30,1
OBC,23,42,13,0
SC,37,81,-5,1
General,27,32,21,0
General,35,78,30,1
SC,23,69,30,1
EWS,34,47,43,1
OBC,57,9,0,0
General,40,66,21,1
General,36,41,-3,0
ST,53,40,37,1
OBC,23,22,39,0
EWS,-10,40,47,0
ST,54,-4,29,1
OBC,37,31,38,1
General,67,4,23,0
ST,82,29,24,1
General,47,36,0,0
OBC,69,8,29,1
General,-6,8,37,0
SC,40,73,26,1
OBC,49,36,41,1
General,79,46,27,1
OBC,-1,18,46,0
ST,12,62,12,1
EWS,47,47,16,1
General,42,60,25,1
ST,4,24,-5,0
OBC,43,36,23,1
OBC,23,42,17,0
OBC,-5,28,17,0
OBC,43,14,45,1
General,60,82,63,1
General,31,66,38,1
OBC,53,17,16,0
General,25,-2,51,0
OBC,45,58,47,1
General,39,12,32,0
General,44,57,30,1
OBC,20,70,26,1
General,33,39,32,0
ST,65,9,36,1
OBC,75,56,20,1
ST,18,37,34,1
OBC,21,10,67,1
SC,33,58,36,1
OBC,43,80,40,1
SC,11,53,45,1
EWS,46,40,57,1
General,54,47,25,1
OBC,60,28,19,1
General,-4,36,12,0
OBC,11,21,-2,0
General,49,33,15,0
General,41,8,24,0
General,18,83,10,1
General,20,68,18,1
OBC,37,55,21,1
SC,8,55,45,1
OBC,21,43,15,0
SC,12,27,10,0
OBC,36,8,-6,0
General,10,15,21,0
OBC,11,37,9,0
General,10,44,43,0
ST,62,75,61,1
General,38,90,57,1
EWS,41,36,9,0
EWS,42,41,13,1
OBC,-1,32,29,0
OBC,8,24,39,0
OBC,24,47,18,0
SC,38,56,47,1
EWS,16,29,15,0
General,11,26,22,0
General,37,67,17,1
General,23,69,48,1
SC,64,26,13,1
OBC,40,45,30,1
OBC,12,33,58,1
OBC,17,23,24,0
SC,59,20,14,1
General,53,54,52,1
EWS,15,6,47,0
SC,13,40,61,1
OBC,61,27,30,1
OBC,48,20,22,1
General,26,46,32,0
ST,1,64,15,1
ST,41,51,28,1
OBC,38,31,9,0
ST,13,41,29,1
OBC,31,55,16,1
General,53,22,48,1
General,11,29,-7,0
SC,49,16,40,1
General,35,16,34,0
General,49,66,53,1
General,44,53,42,1
EWS,45,43,35,1
OBC,7,57,3,0
SC,-3,38,40,1
OBC,14,32,13,0
ST,48,62,17,1
General,59,16,51,1
ST,49,2,0,1
General,46,34,6,0
OBC,35,26,9,0
General,50,79,23,1
General,-5,53,1,0
SC,100,32,43,1
SC,27,20,5,0
SC,29,43,28,1
SC,68,12,15,1
SC,63,33,44,1
General,22,46,31,0
EWS,39,42,32,1
OBC,12,16,13,0
OBC,18,70,56,1
General,38,52,12,0
General,49,34,41,1
OBC,48,28,11,0
General,1,60,1,0
General,14,44,22,0
ST,34,40,23,1
EWS,46,60,27,1
General,48,7,61,1
OBC,62,41,23,1
General,44,26,12,0
OBC,51,77,20,1
General,37,12,11,0
OBC,39,35,14,0
OBC,34,61,24,1
General,59,36,24,1
General,-2,46,39,0
OBC,39,56,36,1
General,44,45,58,1
General,36,42,15,0
OBC,49,47,14,1
EWS,13,47,26,0
OBC,26,32,52,1
General,14,65,5,0
EWS,-2,16,40,0
General,43,52,18,1
OBC,37,58,40,1
OBC,77,32,53,1
OBC,48,38,16,1
EWS,38,61,42,1
ST,58,59,47,1
General,26,21,18,0
SC,4,11,31,0
General,37,60,18,1
EWS,19,37,42,1
ST,24,64,53,1
OBC,48,33,14,1
OBC,18,44,30,1
General,37,73,17,1
General,15,35,17,0
SC,31,20,34,1
SC,62,35,31,1
OBC,66,21,19,1
General,43,35,4,0
OBC,19,17,8,0
General,78,51,5,1
General,57,44,36,1
General,34,33,49,1
SC,30,10,35,1
OBC,43,65,44,1
OBC,48,25,3,0
OBC,22,23,23,0
OBC,46,69,10,1
OBC,11,49,23,0
OBC,42,36,30,1
OBC,-3,8,41,0
SC,16,82,21,1
General,70,46,40,1
OBC,44,25,24,1
OBC,-10,17,52,0
SC,55,42,20,1
ST,49,43,27,1
OBC,49,24,40,1
OBC,23,20,31,0
OBC,19,54,34,1
EWS,50,49,0,1
General,0,73,37,1
OBC,31,47,52,1
General,56,36,56,1
SC,9,27,13,0
General,49,74,6,1
OBC,43,52,65,1
OBC,10,34,76,1
General,36,68,15,1
SC,12,8,27,0
General,44,25,52,1
OBC,33,-10,74,1
OBC,27,25,65,1
OBC,59,-10,46,1
General,56,42,30,1
OBC,-2,61,23,0
General,59,33,24,1
General,31,28,40,0
SC,27,13,36,1
OBC,81,28,26,1
EWS,40,17,49,1
SC,12,66,8,1
EWS,57,57,44,1
General,16,37,29,0
OBC,10,39,6,0
ST,26,64,37,1
OBC,60,33,15,1
OBC,46,39,43,1
OBC,39,20,68,1
OBC,43,22,29,1
EWS,39,49,14,1
OBC,27,52,91,1
OBC,9,63,42,1
OBC,29,34,44,1
OBC,30,-10,13,0
SC,27,50,25,1
ST,12,36,40,1
OBC,20,66,27,1
General,-10,57,47,0
SC,57,19,36,1
General,56,62,21,1
SC,30,36,2,1
OBC,36,32,52,1
General,18,64,55,1
OBC,92,69,29,1
General,0,20,51,0
EWS,46,-3,9,0
SC,27,39,18,1
General,26,52,10,0
SC,57,34,43,1
General,21,63,50,1
SC,25,14,45,1
OBC,8,66,29,1
General,40,87,39,1
OBC,33,23,30,0
OBC,46,34,27,1
OBC,55,46,7,1
General,21,6,24,0
EWS,-5,46,24,0
General,51,54,68,1
General,59,16,32,1
OBC,33,11,46,1
General,23,29,25,0
SC,26,33,17,1
OBC,52,52,60,1
OBC,40,44,23,1
OBC,31,0,60,1
OBC,42,4,48,1
OBC,38,44,36,1
General,54,14,9,0
General,31,55,36,1
OBC,38,55,28,1
EWS,64,35,16,1
General,4,34,42,0
OBC,37,36,34,1
EWS,18,41,49,1
OBC,22,61,59,1
OBC,75,59,13,1
SC,18,12,10,0
General,70,62,-7,1
OBC,47,15,11,0
ST,24,12,33,1
OBC,92,83,33,1
OBC,35,13,66,1
OBC,42,48,32,1
SC,12,48,59,1
ST,22,42,37,1
OBC,52,43,46,1
General,30,68,36,1
EWS,72,43,50,1
General,23,46,20,0
OBC,50,18,7,0
General,19,69,9,0
EWS,59,34,27,1
SC,8,54,14,1
General,67,35,4,1
General,85,45,35,1
General,6,41,11,0
ST,-10,45,24,1
General,22,34,31,0
General,48,-10,16,0
SC,43,49,0,1
ST,16,54,42,1
General,23,-4,19,0
OBC,48,45,23,1
General,37,14,51,0
OBC,30,35,53,1
SC,26,57,22,1
EWS,33,54,7,1
General,50,18,33,0
General,25,45,31,0
SC,38,42,44,1
General,41,24,38,0
OBC,18,45,52,1
EWS,20,43,66,1
General,49,41,49,1
ST,17,38,14,1
General,0,30,1,0
OBC,47,-10,45,0
OBC,-2,32,49,0
General,59,-8,50,0
EWS,-3,27,25,0
General,34,42,49,1
OBC,33,72,30,1
General,45,36,47,1
EWS,58,76,28,1
OBC,33,12,18,0
EWS,58,51,18,1
General,63,43,13,1
ST,40,48,40,1
OBC,16,28,22,0
General,61,24,31,1
ST,26,63,9,1
EWS,28,54,36,1
General,-9,15,20,0
General,48,-6,20,0
General,24,45,30,0
General,18,33,22,0
SC,40,35,15,1
ST,76,36,30,1
OBC,0,19,15,0
ST,27,-3,42,1
OBC,20,4,11,0
ST,44,43,13,1
General,80,59,24,1
OBC,25,-4,59,0
OBC,56,49,22,1
General,2,36,2,0
OBC,48,71,10,1
General,18,34,33,0
ST,-4,50,35,1
OBC,25,16,31,0
OBC,41,4,27,0
General,11,38,46,0
General,-4,64,-7,0
SC,24,0,44,1
SC,39,37,11,1
EWS,38,63,48,1
General,-9,15,44,0
General,21,57,6,0
General,38,12,28,0
ST,19,44,46,1
SC,17,50,28,1
SC,26,46,19,1
General,8,5,23,0
General,48,37,45,1
General,9,17,18,0
OBC,35,11,48,1
General,31,53,26,1
General,77,97,10,1
OBC,24,33,41,1
OBC,39,41,27,1
General,30,38,52,1
OBC,60,63,32,1
EWS,12,68,27,1
ST,31,13,45,1
General,46,34,6,0
OBC,0,46,54,1
EWS,54,51,19,1
EWS,34,57,-6,0
General,37,-7,40,0
OBC,31,30,28,0
EWS,48,14,31,1
General,44,53,13,1
EWS,34,60,2,1
SC,48,23,21,1
OBC,27,7,42,0
EWS,34,22,26,0
ST,93,26,16,1
General,24,24,32,0
General,17,32,26,0
OBC,72,56,15,1
OBC,44,49,24,1
EWS,6,51,70,1
OBC,17,43,35,1
OBC,52,31,22,1
General,58,50,47,1
OBC,36,23,8,0
ST,63,51,35,1
General,55,45,-2,0
OBC,52,-2,58,1
General,0,42,24,0
EWS,49,44,30,1
EWS,24,53,34,1
General,48,10,10,0
OBC,59,23,48,1
EWS,30,43,32,1
OBC,52,46,28,1
EWS,63,42,-4,1
SC,76,30,19,1
OBC,26,77,32,1
General,43,36,38,1
OBC,30,34,24,0
General,1,46,37,0
General,23,25,47,0
SC,54,50,41,1
OBC,9,49,15,0
General,50,28,18,0
General,49,55,1,1
General,60,23,16,0
OBC,84,35,23,1
EWS,66,26,45,1
OBC,35,58,38,1
General,53,20,37,1
General,5,51,30,0
General,26,21,22,0
General,39,28,11,0
General,76,38,61,1
EWS,32,46,23,1
OBC,51,44,-6,0
OBC,60,30,44,1
EWS,46,65,30,1
General,61,14,18,0
SC,25,37,26,1
General,54,17,11,0
OBC,18,45,46,1
General,71,5,23,0
EWS,23,52,-2,0
General,69,53,37,1
EWS,34,18,20,0
General,46,50,29,1
OBC,30,41,51,1
SC,2,59,6,1
EWS,58,11,14,0
OBC,45,37,-3,0
General,21,75,63,1
OBC,47,26,38,1
OBC,37,23,7,0
SC,72,37,26,1
ST,0,15,13,0
OBC,36,45,-10,0
General,76,86,4,1
General,21,15,34,0
General,-3,43,-10,0
OBC,51,48,0,1
General,23,1,17,0
General,8,41,39,0
OBC,27,30,12,0
OBC,55,-9,36,0
EWS,35,17,63,1
OBC,67,23,48,1
General,41,51,13,1
General,44,44,48,1
EWS,37,44,46,1
General,25,75,32,1
SC,25,65,26,1
OBC,42,18,10,0
OBC,39,4,5,0
SC,23,26,12,1
SC,31,10,63,1
SC,52,64,19,1
General,25,51,33,1
ST,63,28,12,1
OBC,25,39,52,1
General,66,82,46,1
OBC,0,16,8,0
OBC,58,57,20,1
General,19,40,21,0
SC,26,32,13,1
General,36,45,52,1
SC,48,27,27,1
OBC,47,16,9,0
OBC,56,54,24,1
OBC,28,45,48,1
SC,51,95,19,1
OBC,18,28,41,0
OBC,5,50,3,0
General,27,62,21,1
ST,31,64,63,1
ST,26,37,26,1
ST,33,41,26,1
OBC,60,32,42,1
General,39,45,24,1
OBC,26,47,26,1
EWS,22,51,54,1
General,30,36,35,0
OBC,23,24,41,0
General,-5,30,38,0
EWS,23,46,3,0
OBC,10,53,25,0
General,25,38,20,0
SC,58,56,52,1
General,30,46,39,1
OBC,36,28,63,1
General,25,78,10,1
General,56,55,27,1
OBC,24,30,19,0
General,41,44,23,1
General,28,53,16,0
OBC,25,52,41,1
General,40,15,28,0
SC,52,21,24,1
General,23,32,12,0
OBC,8,22,35,0
OBC,53,44,4,1
EWS,31,13,-10,0
OBC,38,22,1,0
OBC,38,13,13,0
OBC,32,29,22,0
General,45,39,57,1
OBC,31,33,16,0
General,29,48,1,0
OBC,17,45,49,1
General,15,38,-6,0
OBC,0,42,-2,0
OBC,9,40,45,1
OBC,40,86,49,1
SC,23,43,14,1
General,41,29,29,0
General,17,30,24,0
General,34,47,29,1
General,46,33,4,0
OBC,37,16,30,0
EWS,9,50,46,1
OBC,40,13,59,1
OBC,32,38,1,0
EWS,16,-7,42,0
OBC,-1,14,23,0
EWS,46,18,33,1
OBC,38,22,67,1
OBC,55,73,35,1
SC,25,13,42,1
General,51,31,37,1
OBC,18,49,25,1
EWS,26,32,24,0
General,15,40,25,0
ST,14,70,24,1
OBC,25,45,34,1
General,25,35,28,0
OBC,35,26,24,0
General,41,44,36,1
General,6,40,31,0
OBC,53,34,37,1
